时间,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2
2015-03-01,102,323,轻度污染,77,85,20,0.9,37
2015-03-02,143,349,轻度污染,109,115,21,1.1,51
2015-03-03,109,313,轻度污染,82,62,17,0.9,39
2015-03-04,49,111,优,20,49,13,0.7,24
2015-03-05,38,63,优,15,34,10,0.6,27
2015-03-06,37,52,优,25,36,13,0.7,35
2015-03-07,47,66,优,30,38,14,0.7,40
2015-03-08,40,34,优,25,27,11,0.7,48
2015-03-09,56,118,良,40,47,11,0.8,31
2015-03-10,45,55,优,20,45,12,0.7,24
2015-03-11,59,124,良,43,61,19,0.8,60
2015-03-12,114,295,轻度污染,86,109,30,0.9,55
2015-03-13,126,300,轻度污染,96,125,26,1.2,89
2015-03-14,141,301,轻度污染,108,113,18,1.3,71
2015-03-15,74,114,良,54,52,11,0.8,36
2015-03-16,46,31,优,32,22,9,0.8,40
2015-03-17,51,58,良,36,39,10,0.9,44
2015-03-18,80,248,良,59,56,14,1.2,59
2015-03-19,106,288,轻度污染,80,87,21,1.1,55
2015-03-20,90,231,良,67,70,12,0.8,60
2015-03-21,136,335,轻度污染,104,113,25,1.3,85
2015-03-22,117,302,轻度污染,89,136,22,1,70
2015-03-23,64,137,良,24,79,13,0.6,44
2015-03-24,50,73,优,15,42,12,0.5,37
2015-03-25,57,107,良,19,40,11,0.5,33
2015-03-26,68,180,良,23,43,10,0.6,31
2015-03-27,55,106,良,21,13,9,0.5,29
2015-03-28,106,262,轻度污染,80,95,14,0.9,72
2015-03-29,119,262,轻度污染,90,97,19,1,64
2015-03-30,78,185,良,40,36,11,0.7,36
2015-03-31,93,259,良,68,79,16,1,55
